run, pmt_bottom_voltage [V], pmt_top_voltage [V], Notes
283, -850, -850, LXe filling
284, -850, -850, LXe filling-reci on/getter off
285, -850, -850, LXe filling-reci on/getter off
286, -850, -850, LXe filling-reci on/getter off
287, -850, -850, LXe filling-reci on/getter off
288, -850, -850, LXe filling-reci on/getter off
289, -650, -650, LXe filling-HV scan reci on/getter off
290, -700, -700, LXe filling-HV scan reci on/getter off
291, -750, -750, LXe filling-HV scan reci on/getter off
292, -800, -800, LXe filling-HV scan reci on/getter off
293, -650, -650, LXe filling-Radon injection reci on/getter off
294, -650, -650, LXe filling-reci on/getter off
295, -650, -650, LXe filling-reci on/getter off
296, -650, -650, LXe filling-reci off/getter off
297, -650, -650, LXe filling-reci off/getter off
298, -650, -650, LXe filling-reci off/getter off
299, -650, -650, LXe filling-reci off/getter off
300, -650, -650, LXe filling-reci off/getter off
301, -650, -650, LXe filling-reci off/getter off
302, -650, -650, LXe filling-reci off/getter off
303, -650, -650, LXe filling-reci off/getter off
304, -650, -650, LXe filling-reci off/getter off
305, -650, -650, LXe filling-reci off/getter off
306, -650, -650, LXe filling-reci off/getter off
307, -800, -800, LXe filling-reci off/getter off
308, -850, -850, LXe filling-reci off/getter off
309, -850, -850, LXe filling-reci off/getter off
310, -850, -850, LXe filling-reci off/getter off
311, -850, -850, LXe filling-reci off/getter off
312, -850, -890, LXe filling-reci off/getter off
313, -850, -890, LXe filling-reci off/getter off
314, -850, -890, LXe filling-reci off/getter off
315, -750, -890, LXe filling-reci off/getter off
316, -750, -890, LXe filling-reci off/getter off
317, -780, -670, LXe filling-reci off/getter off
318, -850, -730, LXe filling-reci off/getter off
319, -880, -780, LXe filling-reci off/getter off
320, -750, -750, LXe filling-reci off/getter off
322, -780, -780, LXe filling-reci off/getter off
323, -780, -780, LXe filling-reci off/getter off
324, -780, -780, LXe filling-reci off/getter off
325, -780, -780, LXe filling-reci off/getter off
326, -780, -780, LXe filling-reci off/getter off
327, -780, -780, LXe filling-reci off/getter off
328, -780, -780, LXe filling-reci off/getter off
333, -640, -840, LXe filling-reci off/getter off
334, -640, -840, LXe filling-reci off/getter off
335, -640, -840, LXe filling-reci off/getter off
336, -640, -840, LXe filling-reci off/getter off
337, -640, -840, LXe filling-reci off/getter off
338, -600, -780, reci off/getter off
339, -600, -780, reci off/getter off
340, -600, -780, reci off/getter off
341, -600, -780, reci off/getter off
342, -600, -780, reci off/getter off
343, -600, -780, reci off/getter off
344, -600, -780, reci off/getter off
345, -600, -780, reci off/getter off
346, -600, -780, reci off/getter off
347, -600, -780, reci off/getter off
348, -600, -780, reci off/getter off
349, -600, -670, reci off/getter off
350, -600, -670, reci off/getter off
351, -600, -670, reci off/getter off
352, -600, -670, reci on/getter off
353, -600, -670, reci on/getter off
354, -600, -670, reci on/getter on
355, -600, -670, reci on/getter on
356, -600, -670, reci on/getter on
356, -600, -670, reci on/getter on
357, -600, -670, reci on/getter on
358, -600, -670, reci on/getter on
359, -600, -670, reci on/getter on
360, -600, -670, reci on/getter on
361, -600, -670, reci on/getter on
362, -600, -670, reci on/getter on
363, -600, -670, reci on/getter on
364, -600, -670, reci on/getter on
365, -600, -670, reci on/getter on
366, -600, -670, reci on/getter on
367, -600, -670, reci on/getter on
368, -600, -670, reci on/getter on
369, -600, -670, reci on/getter on
370, -600, -670, reci on/getter on
371, -600, -670, reci on/getter on
372, -600, -670, reci on/getter on
373, -600, -670, reci on/getter on
374, -600, -670, reci on/getter on
375, -600, -670, reci on/getter on
376, -600, -670, reci on/getter on
377, -600, -670, reci on/getter on
378, -600, -670, reci on/getter on
379, -600, -670, reci on/getter on
380, -600, -670, reci on/getter on
381, -600, -670, reci on/getter on
382, -600, -670, reci on/getter on
383, -600, -670, reci on/getter on
384, -600, -670, reci on/getter on
385, -600, -670, reci on/getter on
386, -600, -670, reci on/getter on
387, -600, -670, reci on/getter on
388, -600, -670, reci on/getter on
389, -600, -670, reci on/getter on
390, -600, -670, reci on/getter on
391, -600, -670, reci on/getter on
392, -600, -670, reci on/getter on
393, -600, -670, reci on/getter on
394, -600, -670, reci on/getter on
395, -600, -670, reci on/getter on
396, -600, -670, reci on/getter on
397, -600, -670, reci on/getter on
398, -600, -670, reci on/getter on
399, -600, -670, reci on/getter on
400, -600, -670, reci on/getter on
401, -600, -670, reci on/getter on
402, -600, -670, reci on/getter on
403, -600, -670, reci on/getter on
404, -600, -670, reci on/getter on
405, -600, -670, reci on/getter on
406, -600, -670, reci on/getter on
